new play session: 01-01-0001 0:00:00
00:00:00-Level 2 - World tutorials
00:01:22.4218750-CIRCLE {X:137,0441 Y:720,0647} SQUARE {X:1204,465 Y:167,7102}
00:01:22.7968750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:23.4375000-CIRCLE {X:137,0979 Y:720,0751} SQUARE {X:1203,97 Y:167,8367}
00:01:23.7968750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:24.4375000-CIRCLE {X:137,0992 Y:720,1204} SQUARE {X:1203,818 Y:167,8091}
00:01:24.8125000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:25.4531250-CIRCLE {X:137,0843 Y:720,1218} SQUARE {X:1203,821 Y:167,8313}
00:01:25.8281250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:26.4687500-CIRCLE {X:137,0485 Y:720,0804} SQUARE {X:1203,94 Y:167,8644}
00:01:26.8437500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:27.4687500-CIRCLE {X:137,0619 Y:720,0777} SQUARE {X:1204,013 Y:167,8235}
00:01:27.8437500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:28.4843750-CIRCLE {X:137,0682 Y:720,0854} SQUARE {X:1204,005 Y:167,8421}
00:01:28.8593750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:29.5000000-CIRCLE {X:137,0718 Y:720,0814} SQUARE {X:1203,943 Y:167,8554}
00:01:29.8750000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:30.5000000-CIRCLE {X:137,0118 Y:720,0671} SQUARE {X:1203,884 Y:167,8245}
00:01:30.8750000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:31.5156250-CIRCLE {X:137,0725 Y:720,0651} SQUARE {X:1203,823 Y:167,806}
00:01:31.8906250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:32.5312500-CIRCLE {X:137,0647 Y:720,0668} SQUARE {X:1204,015 Y:167,8186}
00:01:32.9062500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:33.5312500-CIRCLE {X:137,0815 Y:720,0823} SQUARE {X:1204,113 Y:167,794}
00:01:33.9062500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:34.5468750-CIRCLE {X:137,0586 Y:720,0776} SQUARE {X:1203,908 Y:167,8348}
00:01:34.9218750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:35.5625000-CIRCLE {X:137,0811 Y:720,0931} SQUARE {X:1204,004 Y:167,8325}
00:01:35.9375000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:36.5781250-CIRCLE {X:137,0529 Y:720,0791} SQUARE {X:1203,683 Y:167,7923}
00:01:36.9531250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:37.5781250-CIRCLE {X:137,0653 Y:720,0795} SQUARE {X:1204,13 Y:167,798}
00:01:37.9531250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:38.5937500-CIRCLE {X:137,0434 Y:720,1214} SQUARE {X:1203,993 Y:167,8223}
00:01:38.9687500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:39.6093750-CIRCLE {X:137,078 Y:720,0782} SQUARE {X:1204,183 Y:167,7736}
00:01:39.9843750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:40.6093750-CIRCLE {X:137,0726 Y:720,0784} SQUARE {X:1203,918 Y:167,8459}
